score,count
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,2
9,0
10,1
11,2
12,2
13,2
14,1
15,2
16,1
17,1
18,2
19,2
20,2
21,1
22,1
23,3
24,2
25,2
26,2
27,2
28,4
29,4
30,5
31,4
32,4
33,4
34,4
35,5
36,4
37,6
38,7
39,9
40,9
41,14
42,12
43,12
44,12
45,11
46,13
47,13
48,12
49,14
50,15
51,16
52,13
53,12
54,12
55,12
56,12
57,13
58,13
59,13
60,15
61,17
62,16
63,12
64,10
65,10
66,10
67,11
68,10
69,7
70,5
71,7
72,6
73,7
74,4
75,3
76,2
77,2
78,1
79,2
80,0
81,1
82,1
83,1
84,1
85,2
86,0
87,1
88,0
89,0
90,0
91,1
92,0
93,0
94,1
95,0
96,0
97,0
98,0
99,0
100,1
total,513
